name,score,coordinates
福建,211.2545529090165,"119.29699707031,26.099899291992"
徽州,210.04171134245263,"118.43647766113,29.866771697998"
太湖,209.45376449293119,"120.21864318848,31.198038101196"
汉中,208.0347331007987,"107.02300262451,33.067501068115"
九江,204.78757285257683,"116.00199890137,29.705099105835"
花都,204.16327214894451,"113.2200012207,23.40419960022"
青海湖,202.1200347638129,"100.17428588867,36.814224243164"
屯溪,200.25553871047032,"118.33699798584,29.714700698853"
张家界,200.02060776854907,"110.47899627686,29.117099761963"
绍兴,198.6093034244461,"120.58599853516,29.995800018311"
凤凰古镇,197.81869149434868,"109.59899902344,27.947999954224"
昆明,193.34808013391842,"102.83300018311,24.880199432373"
水里,187.88350679448672,"120.86100006104,23.791999816895"
敦煌,185.95418314490456,"94.661903381348,40.142101287842"
北戴河,180.12487242628617,"119.49543762207,39.835224151611"
阆中,179.02519975164012,"106.00499725342,31.558399200439"
通道,178.54949127141288,"109.78399658203,26.158100128174"
衡山,176.38413002687903,"112.88679504395,27.21830368042"
九寨沟,175.32810689831012,"104.2440032959,33.252101898193"
俄罗斯,174.8319740256359,"98.96484375,62.062733258847"
清华镇,174.02130516041072,"117.78189086914,29.41477394104"
朝阳,171.99799523193727,"120.44999694824,41.573699951172"
牛背山,167.90437807732178,"102.37762451172,29.784929945768"
新建,167.15958975255353,"115.81500244141,28.692399978638"
广西,166.369436730252,"108.32800292969,22.815500259399"
哈尔滨,166.1506150247215,"126.53500366211,45.803798675537"
道真,165.80906474802185,"107.6129989624,28.862400054932"
东南亚,165.51046324566508,"103.58810546875,15.73926823243"
和平,165.0266142990981,"114.93900299072,24.442199707031"
菩萨,160.89126053864618,"103.91699981689,12.53330039978"
景德镇,160.8157566325286,"117.17800140381,29.268800735474"
江苏,159.23133332313026,"119.45570107934,32.973388393997"
云冈石窟,158.81569699363374,"113.30000305176,40.076801300049"
日光,157.600098012101,"139.6982161,36.7199026"
贵州,155.1521742121196,"106.70700073242,26.59819984436"
欧洲,153.01154760599442,"14.685974121094,49.037867945326"
恩施,147.52817686184048,"109.4879989624,30.272199630737"
埃及,144.06320823162187,"29.8828125,26.647458702659"
大关,143.75198759041706,"103.89099884033,27.747999191284"
樟树,142.31360992751758,"115.54599761963,28.05590057373"
南昌,139.94179847979288,"115.85800170898,28.683200836182"
越南,138.52127219249806,"108.193359375,14.509144353358"
海南,137.51096260133588,"110.34899902344,20.017400741577"
朝鲜,136.49626602217995,"126.64489746094,39.728313410297"
泰安,136.01566249063458,"117.08799743652,36.200298309326"
德国,131.1643843663054,"10.451526,51.165691"
长春,129.78888376041272,"125.32399749756,43.817100524902"
石家庄,129.60583628762623,"114.51499938965,38.042301177979"
南海,129.15614853523257,"114.48654296875,15.781561458461"
暹粒,128.62499462336766,"104.09999847412,13.691499710083"
恒山,126.50870545996777,"113.74519348145,39.668006896973"
荔波,126.49834086254816,"107.8870010376,25.411199569702"
兴化,125.89026420475227,"119.85299682617,32.910499572754"
大城,123.7535035572066,"100.56900024414,14.353199958801"
吉林,123.43164250989072,"125.32599639893,43.896099090576"
都江堰,123.15155170880035,"103.64700317383,30.988399505615"
武夷山,122.60240447492788,"118.03500366211,27.75659942627"
石林,122.50469640328743,"103.27100372314,24.759099960327"
和美,121.11739705255206,"120.51682281494,24.124846212065"
同里,121.11495073355465,"120.72298431396,31.160140991211"
峨眉山,121.09241636083804,"103.48500061035,29.60120010376"
唐山,120.27165753671713,"118.3391638349,39.736910193078"
清迈,120.10799546239292,"98.993103027344,18.787700653076"
法国,119.60831334684497,"2.43896484375,46.604167162932"
野三坡,119.18646970124044,"115.37494659424,39.593570709229"
庐山,116.20578094486116,"115.96501922607,29.52571105957"
乐山,115.9216305417226,"103.76599884033,29.552099227905"
弥勒,114.340922207714,"103.41500091553,24.41189956665"
从江,114.31954821125228,"108.9049987793,25.753000259399"
合肥,112.85635649461723,"117.22699737549,31.821399688721"
保定,112.13735334688612,"115.46499633789,38.873901367188"
香格里拉,111.1264597158865,"99.700897216797,27.829700469971"
少林寺,110.46585503571896,"112.93882751465,34.503925323486"
平和,109.18782041101707,"117.31500244141,24.363399505615"
湘西,108.6021752673775,"109.73899841309,28.311899185181"
蒙古,107.38247762128624,"103.2145703125,46.762357494374"
宁波,107.36143354841951,"121.54399871826,29.868299484253"
阳西,107.09423760598585,"111.61799621582,21.75239944458"
大兴,106.8897789293104,"116.34100341797,39.726898193359"
柬埔寨,105.50539140178394,"105.13366699219,12.517028057234"
长乐,105.0321741920624,"119.52300262451,25.96310043335"
三峡,104.79741508449423,"111.09419250488,30.846841812134"
曼谷,104.75523537263176,"100.5240020752,13.727899551392"
大方,104.52513420148573,"105.6129989624,27.141500473022"
新城,103.28091951913038,"121.60800170898,24.051399230957"
希腊,102.38979726874236,"22.6318359375,39.393754592243"
