name,score,coordinates
天波杨府,9.870531513836383,"114.341098,34.808143"
伏见稻荷大社,9.861874102974744,"135.772693,34.967369"
下板寺,9.860592679978707,"107.8960485556,34.1219146371"
水云硐,9.849543648043207,"121.442345,28.433345"
明孝陵,9.847773829038577,"118.838137,32.050767"
陈毅广场,9.794655359607123,"121.490593,31.237757"
上海鲜花港,9.761966380140608,"121.9074114,30.9516344"
凡尔赛宫,9.653901879267528,"2.104676,48.814918"
洞爷湖,9.627139082285854,"140.85239769849,42.602504570786"
甲秀楼,9.624510468019325,"106.72003128282,26.57096382357"
万鸟岛,9.531012249300696,"120.747595,37.826385"
上野动物园,9.517233264662694,"139.7733,35.713753"
秦淮河,9.51597473145195,"118.790469,32.021889"
兴坪古镇,9.5,"110.52949073792,24.916529499864"
成都大熊猫繁育研究基地,9.5,"104.146719,30.735653"
中央大街步行街,9.49999999999878,"126.617224,45.780631"
江汉关博物馆,9.499993164352349,"114.2929687963,30.579670633071"
西安博物馆,9.476243188402377,"108.9420747757,34.239142725196"
